id,survey_id,title,question_type,labels_ids_2/id,labels_ids/id
__export__.survey_question_1_98dae4fc,Faculty Survey,Faculty Survey,Matrix,__export__.survey_label_6_47475868,
,,,,__export__.survey_label_7_08cc03a4,
,,,,__export__.survey_label_8_a2a16e3d,
,,,,__export__.survey_label_9_9f84dc2c,
,,,,__export__.survey_label_10_41168ae7,
,,,,__export__.survey_label_11_c79c7c85,
,,,,__export__.survey_label_12_7be669db,
,,,,__export__.survey_label_13_62ecf45f,
,,,,__export__.survey_label_14_5ccda7bf,
,,,,__export__.survey_label_15_ee235f1e,
,,,,__export__.survey_label_16_f55d612f,
,,,,__export__.survey_label_17_4165991e,
,,,,__export__.survey_label_18_13805c4f,
,,,,__export__.survey_label_19_a6c99162,
,,,,,__export__.survey_label_1_93ed2ae3
,,,,,__export__.survey_label_2_06e8c306
,,,,,__export__.survey_label_3_da0abd02
,,,,,__export__.survey_label_4_a8cc10cb
,,,,,__export__.survey_label_5_c92a5305
__export__.survey_question_2_91e0d7ec,Faculty Survey,15. What are the best programs / factors currently available in your department that enhance your motivation and job satisfaction?,Multiple Lines Text Box,,
__export__.survey_question_3_988695c0,Faculty Survey,16. Suggest programs / factors that could improve your motivation and job satisfaction?,Multiple Lines Text Box,,
__export__.survey_question_7_cc4c49ae,Student Course Evaluation,Student Course Evaluation,Matrix,__export__.survey_label_44_c2cd1c9c,
,,,,__export__.survey_label_45_90e9c53a,
,,,,__export__.survey_label_46_917f5bf1,
,,,,__export__.survey_label_47_39b9e664,
,,,,__export__.survey_label_48_09906560,
,,,,__export__.survey_label_49_455dec8f,
,,,,__export__.survey_label_50_4136ed91,
,,,,__export__.survey_label_51_8f0cd04f,
,,,,__export__.survey_label_52_a5d5af1d,
,,,,__export__.survey_label_53_af539601,
,,,,__export__.survey_label_54_3a0805c7,
,,,,__export__.survey_label_55_38ec584e,
,,,,__export__.survey_label_56_49e75a1e,
,,,,__export__.survey_label_57_20555ce6,
,,,,__export__.survey_label_58_333bdf85,
,,,,,__export__.survey_label_39_88e16ce4
,,,,,__export__.survey_label_40_b5e4d1a9
,,,,,__export__.survey_label_41_a9d2569f
,,,,,__export__.survey_label_42_99b9db0f
,,,,,__export__.survey_label_43_5de95e63
__export__.survey_question_8_e0f7daf5,Student Course Evaluation,Your comments (if any):,Multiple Lines Text Box,,
__export__.survey_question_75_e14d585a,Teacher Evaluation-I,Teacher Evaluation,Matrix,__export__.survey_label_424_4e3f56a1,
,,,,__export__.survey_label_425_65b5c94e,
