id,survey_id,title,question_type,labels_ids_2/id,labels_ids/id
__export__.survey_question_1_98dae4fc,Faculty Survey,Faculty Survey,Matrix,__export__.survey_label_6_47475868,__export__.survey_label_1_93ed2ae3
,,,,__export__.survey_label_7_08cc03a4,
,,,,__export__.survey_label_8_a2a16e3d,
,,,,__export__.survey_label_9_9f84dc2c,
,,,,__export__.survey_label_10_41168ae7,
,,,,__export__.survey_label_11_c79c7c85,
,,,,__export__.survey_label_12_7be669db,
,,,,__export__.survey_label_13_62ecf45f,
,,,,__export__.survey_label_14_5ccda7bf,
,,,,__export__.survey_label_15_ee235f1e,
,,,,__export__.survey_label_16_f55d612f,
,,,,__export__.survey_label_17_4165991e,
,,,,__export__.survey_label_18_13805c4f,
,,,,__export__.survey_label_19_a6c99162,
,,,,,__export__.survey_label_2_06e8c306
,,,,,__export__.survey_label_3_da0abd02
,,,,,__export__.survey_label_4_a8cc10cb
,,,,,__export__.survey_label_5_c92a5305
__export__.survey_question_2_91e0d7ec,Faculty Survey,15. What are the best programs / factors currently available in your department that enhance your motivation and job satisfaction?,Multiple Lines Text Box,,
__export__.survey_question_3_988695c0,Faculty Survey,16. Suggest programs / factors that could improve your motivation and job satisfaction?,Multiple Lines Text Box,,
__export__.survey_question_421_e906483b,Survey of Graduating Students,Survey Questions,Matrix,__export__.survey_label_5046_38108373,__export__.survey_label_5031_eede9786
,,,,__export__.survey_label_5047_d2d97825,
,,,,__export__.survey_label_5048_1c35c725,
,,,,__export__.survey_label_5049_25e13283,
,,,,__export__.survey_label_5050_aef3457f,
,,,,__export__.survey_label_5051_9ee1349e,
,,,,__export__.survey_label_5052_15f7f0ad,
,,,,__export__.survey_label_5053_a4676e47,
,,,,,__export__.survey_label_5032_e8d4a39b
,,,,,__export__.survey_label_5033_a56e6827
,,,,,__export__.survey_label_5034_044654fc
,,,,,__export__.survey_label_5035_b967bc31
__export__.survey_question_422_2af41d31,Survey of Graduating Students,"9. I can now work effectively, on multifaceted and /or multidisciplinary settings",Matrix,__export__.survey_label_5054_d17deacf,__export__.survey_label_5036_0bdc0e6e
,,,,__export__.survey_label_5055_c920c836,
,,,,,__export__.survey_label_5037_97affd3d
,,,,,__export__.survey_label_5038_c488d0f0
,,,,,__export__.survey_label_5039_94aa0e17
,,,,,__export__.survey_label_5040_444a46e6
__export__.survey_question_423_54d2dec9,Survey of Graduating Students,Professional Training,Matrix,__export__.survey_label_5056_586d437f,__export__.survey_label_5041_f417ffb4
,,,,__export__.survey_label_5057_a3cdb52b,
,,,,__export__.survey_label_5058_89d5e466,
,,,,,__export__.survey_label_5042_2c7f74a4
,,,,,__export__.survey_label_5043_c07635ef
,,,,,__export__.survey_label_5044_4f4c7ee9
,,,,,__export__.survey_label_5045_617b18e1
