External ID,Suggested value,Score for this choice
__export__.survey_label_1_93ed2ae3,Excellent,5
__export__.survey_label_2_06e8c306,V Good,4
__export__.survey_label_3_da0abd02,Good,3
__export__.survey_label_4_a8cc10cb,Avg,2
__export__.survey_label_5_c92a5305,Poor,1
__export__.survey_label_6_47475868,"1. Your mix of research, teaching and community service.",0
__export__.survey_label_7_08cc03a4,2. The intellectual stimulation of your work.,0
__export__.survey_label_8_a2a16e3d,3. Type of teaching / research you currently do.,0
__export__.survey_label_9_9f84dc2c,4. Your interaction with students.,0
__export__.survey_label_10_41168ae7,5. Cooperation you receive from colleagues.,0
__export__.survey_label_11_c79c7c85,6. The mentoring available to you.,0
__export__.survey_label_12_7be669db,7. Administrative support from the department.,0
__export__.survey_label_13_62ecf45f,8. Providing clarity about the faculty promotion process.,0
__export__.survey_label_14_5ccda7bf,9. Your prospects for advancement and progress through ranks.,0
__export__.survey_label_15_ee235f1e,10. Salary and compensation package,0
__export__.survey_label_16_f55d612f,11. Job security and stability at the department,0
__export__.survey_label_17_4165991e,12. Amount of time you have for yourself and family.,0
__export__.survey_label_18_13805c4f,13. The overall climate at the department,0
__export__.survey_label_19_a6c99162,14. Whether the department is utilizing your experience and knowledge,0
__export__.survey_label_5031_eede9786,Excellent,5
__export__.survey_label_5036_0bdc0e6e,Excellent,5
__export__.survey_label_5037_97affd3d,V Good,4
__export__.survey_label_5038_c488d0f0,Good,3
__export__.survey_label_5039_94aa0e17,Avg,2
__export__.survey_label_5040_444a46e6,Poor,1
__export__.survey_label_5041_f417ffb4,Excellent,5
__export__.survey_label_5042_2c7f74a4,V Good,4
__export__.survey_label_5043_c07635ef,Good,3
__export__.survey_label_5044_4f4c7ee9,Avg,2
__export__.survey_label_5045_617b18e1,Poor,1
__export__.survey_label_5046_38108373,1. I am adequately prepared to enter professional life after attending the engineering program.,0
__export__.survey_label_5047_d2d97825,2. I have effective analytical and problem solving skills.,0
__export__.survey_label_5048_1c35c725,3. I can develop solutions for complex problems.,0
__export__.survey_label_5049_25e13283,4. I can interpret the experimental data to derive valid conclusions.,0
__export__.survey_label_5050_aef3457f,5. I can efficiently use modern tools in civil engineering industry.,0
__export__.survey_label_5051_9ee1349e,"6. I am well aware to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to professional engineering practice.",0
__export__.survey_label_5052_15f7f0ad,7. I am environmentally responsible and cognizant to develop friendly solutions.,0
__export__.survey_label_5053_a4676e47,8. I am morally responsible.,0
__export__.survey_label_5054_d17deacf,a) As an individual,0
__export__.survey_label_5055_c920c836,b) As in a team,0
__export__.survey_label_5056_586d437f,"10. I can now communicate effectively with clients, colleagues, and other members of interprofessional teams.",0
__export__.survey_label_5057_a3cdb52b,11. I can manage my professional affairs.,0
__export__.survey_label_5058_89d5e466,"12. I have the ability to recognize the importance of, and pursue lifelong learning in the broader context of innovation and technological developments",0
__export__.survey_label_6187_39ca0a2c,Excellent,5
__export__.survey_label_6188_3545b47c,V Good,4
__export__.survey_label_6189_f5acae66,Good,3
__export__.survey_label_6190_67624ffd,Avg,2
__export__.survey_label_6191_17e7d82e,Poor,1
__export__.survey_label_6192_cd067689,Excellent,5
__export__.survey_label_6193_1e4ff138,V Good,4
__export__.survey_label_6194_1094e0d4,Good,3
__export__.survey_label_6195_bc09efe6,Avg,2
__export__.survey_label_6196_056af855,Poor,1
__export__.survey_label_6197_6ee81ab9,Excellent,5
__export__.survey_label_6198_78bb5d9c,V Good,4
__export__.survey_label_6199_7578b117,Good,3
__export__.survey_label_6200_4ef76750,Avg,2
__export__.survey_label_6201_7b651471,Poor,1
__export__.survey_label_6202_7b2b5b1e,1. The course design was well thought and planned,0
__export__.survey_label_6203_d160a78a,2. The achieved course outcomes were similar to what the intended course outcomes.,0
__export__.survey_label_6204_25925949,3. The course’s assessment methodology/mechanism was able to comprehend the intended outcomes.,0
__export__.survey_label_6205_c1fa676f,4. The course was well organized with even distribution of the content and assessment,0
__export__.survey_label_6206_31dc65f1,5. The content was appropriate according to the number of credit hours assigned for this course.,0
__export__.survey_label_6207_d8709a87,6. Consultation with the faculty who teaches the related or prerequisite contents was done to avoid content redundancy.,0
__export__.survey_label_6208_8a58204c,7. This course stimulated the interest of the students.,0
__export__.survey_label_6209_df3b0b53,8. This course intellectually challenged me.,0
__export__.survey_label_6210_36f7d411,9. This course intellectually challenged the students.,0
__export__.survey_label_6211_7e9dfce8,10. The assessment in this course truly reflected the intellectual gains of the students.,0
__export__.survey_label_6212_7fca5a75,11. The classroom layout was suitable for this course.,0
__export__.survey_label_6213_81e450b9,12. The class size (number of students) was appropriate.,0
__export__.survey_label_6214_11872acf,13. The computing facilities and desired software applications for this course were sufficient (if any required).,0
